ISBN,Book,Author,Themes,Qualities
9781402712364,Little Women,Louisa May Alcott ,"feminism, love, youth, marriage","warm, welcoming, welcome, cozy, soothing, endearing, homely, comforting, feminine, comfortable, warm, sentimental, comfy, sweet"
9780760763148,Gargantua and Pantagruel ,François Rabelais ,"farce, comedy, satire","funny, provocative, daring, rude, humorous, witty, hilarious, imaginative,"
9780553210095,The Scarlet Letter,Nathaniel Hawthorne ,"adultery, sex, love, romance, desire","moral, uptight, thought-provoking, tender, sympathetic"
9781551111254,Sense and Sensibility,Jane Austen,"love, romance, marriage, relationships","classy, respectable, elegant, romantic, civilized, cultured, sensible, feminine, refined"
9781304109354,Dead Souls,Nikolai Gogol ,"politics, socialism","political, compassionate, sympathetic, socialist"
9780547951980,The Silmarillion ,J.R.R. Tolkien,"fantasy, magic, sorcery, adventure, ","adventurous, epic, impressive"
9781448139347,The Spy Who Loved Me,Ian Fleming,"espionage, spies, adventure, gadgets","exciting, sexy, popular, entertaining, thrilling, stealthy"
9780684865133,Catch-22,Joseph Heller,"satire, war, madness, ","satirical, cutting, witty, liberal, articulate, satisfying"
9780307275165,Memoirs of a Geisha ,Arthur Golden,"memory, prostitution, Japan, prostitutes","memorable, tragic, romantic, historical, sentimental"
9781787206502,Goldfinger,Ian Fleming,"espionage, spies, adventure, gadgets, gold","exciting, sexy, popular, entertaining, thrilling"
9781448139286,Diamonds Are Forever,Ian Fleming,"espionage, spies, adventure, gadgets, spying","exciting, sexy, popular, entertaining, thrilling, valuable"
9780199665860,The Barchester Chronicles,Anthony Trollope ,"religion, society, morality","classy, religious, moral, dramatic, historical"
9781580493864,The Hound of the Baskervilles,Arthur Conan Doyle,"mystery, detectives, puzzles, dogs, monsters, horror","scary, frightening, mysterious, dramatic, suspenseful"
9781451678192,The Martian Chronicles ,Ray Bradbury ,"science, space, exploration,  Mars, space exploration","futuristic, advanced, forward-looking, innovative, exciting, scientific, open-minded, high-tech"
9781480483606,The Wonderful Wizard of Oz,L. Frank Baum ,"fantasy, imagination, adventure, wonder, magic","endearing, exciting, amusing, fun, thrilling, adventurous, exhilarating, imaginative, pleasant, friendly, refreshing"
9781448139248,Casino Royale,Ian Fleming,"gambling, espionage, spies, adventure, gadgets","exciting, sexy, popular, entertaining, thrilling, adventurous, exotic"
9781501172311,Contact,Carl Sagan,"science, aliens, space, astronomy, cosmos","advanced, futuristic, forward-looking, liberal, scientific, educational, adventurous, high-tech"
9780192810898,Songs of Innocence and of Experience ,William Blake,spirituality,"passionate, spiritual, poetic, philosophical, profound, truthful"
9789635271900,The Pit and the Pendulum ,Edgar Allan Poe ,"horror, torture","scary, frightening, dark, moody, suspenseful"
9781365880056,The Master and Margarita ,Mikhail Bulgakov ,"Russia, revolution","spiritual, religious, moral, philosophical, political, satirical, witty, cutting, historical"
9781551998534,As I Lay Dying ,William Faulkner ,"death, ","philosophical, subtle, profound, expressive, articulate, challenging"
9781447274698,Terms of Endearment,Larry McMurtry ,"love, romance, ","romantic, endearing, emotional, tragic, sentimental"
9781448139378,The Man With The Golden Gun,Ian Fleming,"espionage, spies, adventure, gadgets","exciting, sexy, popular, entertaining, thrilling, adventurous"
9780521827652,Mansfield Park,Jane Austen,society,"classy, respectable, elegant, civilized, romantic, talkative, feminine, refined"
9780521824378,Emma,Jane Austen,"love, romance, matchmaking","classy, respectable, elegant, civilized, romantic, talkative, feminine, charismatic, graceful"
9780763666842,Chitty Chitty Bang Bang,Ian Fleming,"children, cars, travel, fantasy","amusing, fun, funny, welcome, entertaining, popular, cute, sweet"
9780751561623,Interview With The Vampire,Anne Rice,"vampires, horror, monsters","scary, frightening, dark, moody, suspenseful, creepy, romantic, erotic, sexy"
9780684856476,The Rum Diary,Hunter S. Thomspon,"alcoholism, journalism","honest, sincere, authentic"
9780006473299,The Chronicles of Thomas Covenant the Unbeliever,Stephen R. Donaldson ,"dystopia, future, apocalypse","imaginative, philosophical, spiritual"
9780521824194,Northanger Abbey ,Jane Austen,"gothic, mystery","classy, respectable, elegant, dark, mysterious, refined"
9781448139323,For Your Eyes Only,Ian Fleming,"espionage, spies, adventure, gadgets","exciting, sexy, popular, entertaining, thrilling"
9781444710236,Stranger in a Strange Land ,Robert A. Heinlein,"science, society, civilization","provocative, controversial, sensual, sexual, satirical, erotic, scientific, sexy, futuristic, wise, profound, satirical"
9781420951726,Tarzan of the Apes,Edgar Rice Burroughs ,"nature, wilderness, animals, survival","exotic, adventurous, thrilling, exciting, manly, macho, masculine"
9781448139262,Live And Let Die,Ian Fleming,"espionage, spies, adventure, gadgets","exciting, sexy, popular, entertaining, thrilling"
9781840224115,A Study In Scarlet,Arthur Conan Doyle,"mystery, detectives, puzzles, ","mysterious, gripping, intelligent, smart, observant, clever"
9781448139330,Thunderball,Ian Fleming,"espionage, spies, adventure, gadgets, cold war, spying","exciting, sexy, popular, entertaining, thrilling"
9781909735612,The Jungle Books,Rudyard Kipling ,"jungle, animals, nature","exotic, amusing, fun, musical, thrilling, endearing, pleasurable, adventurous"
9781448114955,Fight Club,Chuck Palahniuk,"violence, masculinity, conflict, boxing, ","exciting, violent, dangerous, thrilling, complex, mysterious, punk, manly, macho, masculine, subversive"
9781448139279,Moonraker,Ian Fleming,"espionage, spies, adventure, gadgets, space","exciting, sexy, popular, entertaining, thrilling"
9781448139309,Doctor No,Ian Fleming,"espionage, spies, adventure, gadgets","exciting, sexy, popular, entertaining, thrilling"
9780307827661,The Stranger,Albert Camus,philosophy,"philosophical, subtle, profound"
9781448106899,The Godfather,Mario Puzo,"Mafia, crime, family","exciting, dark, thrilling, tragic, edgy, dramatic"
9780553900330,I Robot,Isaac Asimov,"robots, science, androids, robotics","profound, exciting, technical, scientific, philosophical"
9780060597184,The Unbearable Lightness of Being ,Milan Kundera ,"love, romance, revolution, socialism, communism","romantic, sensual, erotic, seductive, historical, political, sexy"
9781551999142,The Once and Future King,T.H. White ,"quest, mythology, legend, ","philosophical, spiritual, romantic, subtle, inspiring, inspirational"
9781982537548,Shōgun ,James Clavell,"Japan, aristocracy","historical, exotic, political, dramatic"
9780385333481,Cat's Cradle,Kurt Vonnegut Jr. ,science fiction,"dark, technical, scientific, philosophical"
9781406266467,The Tell-Tale Heart,Edgar Allan Poe ,"horror, crime, guilt, justice, conscience","dark, tragic, mysterious, upsetting, disturbing, moral"
9781405518901,The Scapegoat,Daphne du Maurier ,"mystery, guilt","mysterious, dark,"
9781848941489,Plain Truth,Jodi Picoult,family,"tragic, emotional, believable"
9780486110608,The Island of Dr. Moreau ,H.G. Wells ,"genetic engineering, eugenics, experimentation, genetics","scary, frightening, scientific, imaginative, chilling"
9788893456142,The Tempest,William Shakespeare,"magic, sorcery","magical, spellbinding, dramatic, dangerous"
9780141915685,The Brothers Karamazov ,Fyodor Dostoyevsky ,"crime, family","passionate, philosophical, moral, spiritual"
9781952535192,Nobody's Fool ,Richard Russo,"society, old age","observant, compassionate, wise, witty"
9781501180491,American Assassin ,Vince Flynn,"violence, espionage, spying, assassins, assassination","violent, political, covert, thrilling, suspenseful"
9781775416449,The Forsyte Saga,John Galsworthy ,"family, romance, aristocracy","civilized, classy, elegant, cosmopolitan, romantic"
9781387782949,Kim,Rudyard Kipling ,"politics, India,","political, historical, exotic, adventurous"
9781446439746,Silence of the Lambs,Thomas Harris,"horror, crime, murder, cannibals, cannibalism, serial killers","scary, frightening, exciting, complex, dark, threatening, menacing, intimidating"
9781448183739,Hannibal,Thomas Harris,"horror, crime, murder, cannibals, cannibalism, serial killers","scary, frightening, exciting, complex, dark, threatening, menacing, intimidating"
9781848941151,The Dark Tower,Stephen King,"horror, fantasy, magic, sorcery","scary, frightening, exciting, complex, dark, threatening, menacing, intimidating, terrifying"
9781501192241,Cujo,Stephen King,"horror, dogs, animals","scary, frightening, exciting, complex, dark, threatening, menacing, intimidating, terrifying"
9781848940819,Salem's Lot,Stephen King,"vampires, horror, monsters","scary, frightening, exciting, complex, dark, threatening, menacing, intimidating, terrifying"
9781448177202,The Martian,Andy Weir,"science, exploration, space, astronauts, Mars, space exploration","scientific, forward-looking, philosophical, adventurous, thrilling, gripping, suspenseful, dramatic, technical, sophisticated"
9781448103911,Song of Solomon ,Toni Morrison ,"poetry, spirituality","poetic, philosophical, intelligent, spiritual, compassionate"
9780141889955,The Three Musketeers ,Alexandre Dumas,"adventure, history","exciting, historical, thrilling, entertaining, adventurous"
9781602707481,The Man In The Iron Mask,Alexandre Dumas,"adventure, history","exciting, historical, thrilling, entertaining, adventurous"
9780871293466,The Legend of Sleepy Hollow ,Washington Irving ,"horror, fantasy, ghosts","amusing, fun, funny, intelligent, whimsical, scary, frightening"
9780156031820,The Color Purple ,Alice Walker,"racism, society, segregation, discrimination","compassionate, sympathetic, historical, political, observant"
9780141975672,The Naked Lunch,William S. Burroughs ,"sex, drugs, obsession","twisted, nutritious, imaginative, innovative, creative, dark, spontaneous, shocking, controversial"
9781448139354,On Her Majesty's Secret Service,Ian Fleming,"espionage, spies, adventure, gadgets, space, spying","exciting, sexy, popular, entertaining, thrilling, adventurous, exotic"
9781848940802,Carrie,Stephen King,"horror, mind control, telepathy, blood","scary, frightening, dark, moody, suspenseful, gruesome, terrifying, shocking"
9781453235393,Last Exit To Brooklyn,Hubert Selby Jr. ,"society, poverty, misery","dark, moody, hard-hitting, provocative, controversial, painful, gritty"
9780007289486,Where Eagles Dare,Alistair MacLean ,"war, adventure, espionage","military, thrilling, exciting, suspenseful, daring, gripping, adventurous"
9780375714832,Persepolis,Marjane Satrapi ,"family, politics, Iran","political, wise, compassionate, historical"
9780547544403,A Room of One's Own ,Virginia Woolf,"writing, writers, literature","romantic, civilized, cultured, classy, elegant, sentimental"
9781772469868,Orlando,Virginia Woolf,"gender, identity, feminism","feminine, innovative, progressive, historical, philosophical, romantic, cosmopolitan"
9780199536009,Mrs. Dalloway,Virginia Woolf,"society, aristocracy","classy, elegant, cultured, civilized, cosmopolitan, sociable, sentimental"
9781444767568,Cloud Atlas,David Mitchell ,"reincarnation, power, injustice","diverse, colourful, versatile, compassionate, thrilling, exciting, clever, intelligent, smart, innovative, imaginative, nimble"
9781476770116, For Whom the Bell Tolls ,Ernest Hemingway ,"war, revolution, civil war","romantic, thrilling, inspiring, inspirational, historical, tragic"
9780385537674,Fifty Shades Of Grey,E.L. James,"sex, bondage, domination","racy, sexy, erotic, sexual, sensual, titillating, pornographic, seductive, steamy, stimulating, pleasurable"
9783736801462,The Republic,Plato,"politics, philosophy","political, opinionated, philosophical, fascist, ethical"
9780307744111,Midnight's Children,Salman Rushdie ,"independence, India","historical, dramatic, moving, emotional, political"
9780312270827,The Satanic Verses,Salman Rushdie ,"Islam, religion, ","controversial, provocative, thought-provoking, spiritual, religious, satanic"
9781409092360,A Brief History of Time,Stephen Hawking,"science, physics, black holes, big bang","useful, helpful, scientific, educational, informative, informed, historical"
9780300210798,Anna Karenina,Leo Tolstoy,"adultery, marriage, Russia","romantic, historical, emotional, tragic, moral"
9780349006611,Don't Look Now,Daphne du Maurier ,"horror, mystery, death","scary, frightening, dark, moody, suspenseful"
9780521779135,Beyond Good and Evil,Friedrich Nietzsche ,"philosophy, morality, evil","moral, philosophical, subtle, inspiring, inspirational, provocative, profound, thought-provoking, ethical"
9780241968574,Love in the Time of Cholera ,Gabriel García Márquez ,"love, disease","romantic, emotional, historical"
9781451658866,The Time Machine,H.G. Wells ,"time travel, adventure, science","scientific, forward-looking, philosophical"
9781845882419,The Canterville Ghost ,Oscar Wilde,ghosts,"amusing, fun, funny, intelligent, whimsical"
9780316218511,The Host,Stephenie Meyer ,"aliens, parasites","exciting, scary, frightening, thrilling, entertaining"
9780316213189,Twilight,Stephenie Meyer ,"vampires, horror, monsters","pretentious, scary, romantic, sensual, erotic, exciting, sexy, dark"
9781623959548,Sons and Lovers,D.H. Lawrence ,"sex, family, love","erotic, sensual, romantic, sexual, arty, tempestuous"
9780191606106,Walden,Henry David Thoreau ,"nature, solitude, wilderness","naturalistic, natural, philosophical, profound, humanistic, green"
9780141920078,Cold Comfort Farm ,Stella Gibbons,family,"endearing, cosy, cozy, homely, soothing, comforting, comfortable"
9780684864839,Angela's Ashes,Frank McCourt ,"poverty, deprivation","sympathetic, observant, dark, moving, grim, compassionate"
9781442457997,Anne of Green Gables,L.M. Montgomery ,family,"endearing, cosy, cozy, homely, soothing, comforting, comfy, comfortable, cheerful, cheery, pleasant, friendly, sentimental"
9780795312113,The Day of the Triffids ,John Wyndham ,"monsters, aliens, invasion, horror","dark, scary, thrilling"
9781101500422,Starship Troopers ,Robert A. Heinlein,"monsters, aliens, invasion, horror","fascist, exciting, adventurous, exotic, political"
9781429081238,Rip Van Winkle ,Washington Irving ,"sleep, coma","thought-provoking, endearing, whimsical"
9781616411039,The Invisible Man ,H.G. Wells ,"invisibility, mad scientists,  visibility","forward-looking, thrilling, suspenseful, dramatic, exciting"
9781407133195,The Hunger Games: Mockingjay,Suzanne Collins,"dystopia, future, games","exciting, suspenseful, violent, thrilling, entertaining, political,"
